Организация;Партнер;ИНН;КПП;ТС;ГосНомер;ИД;Активно;ОкончаниеНачисления;НомерНачисления;ДатаНачисления;Сумманачисления;НомерСчета;ДатаСчет;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [1035 ЕР] МТЗ;[1035 ЕР] МТЗ;336025227;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [2049 EB] John Deere (РИ;[2049 EB] John Deere (РИ)Т;236036775;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [3766 ЕЕ] МТЗ 82.1 Тракт;[3766 ЕЕ] МТЗ 82.1 Трактор ТЕР;236036674;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [Е 217 МУ] Самосвал Кама;[Е 217 МУ] Самосвал Камаз 5320;254002406;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; доминатор 204 3840ев31;доминатор 204 3840ев31;236040272;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [9961 ЕУ] МТЗ 82.1 Тракт;[9961 ЕУ] МТЗ 82.1 Трактор Т;236036773;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [8658 ЕН] John Deere;[8658 ЕН] John Deere;236029910;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [ Р333 СО ]  Камаз 65115;[ Р333 СО ]  Камаз 65115;254002397;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [Е 214 МУ] Самосвал Маз ;[Е 214 МУ] Самосвал Маз 5337;265008421;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [4678 ЕК] John Deere;[4678 ЕК] John Deere;236029756;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [Н 369 АО 31] Камаз;[Н 369 АО 31] Камаз;254001254;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [0275 ЕВ] John Deere;[0275 ЕВ] John Deere;265012645;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Реал Инвест;3126018629;312601001; [0279 ЕТ] Трактор МТЗ 12;[0279 ЕТ] Трактор МТЗ 1221.2;265008535;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000166;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [Е 339 НЕ] Газель;[Е 339 НЕ] Газель;336006143;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [9658 ЕР] Трактор Versat;[9658 ЕР] Трактор Versatile 305;265008573;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [7256 ЕС] Трактор МТЗ-82;[7256 ЕС] Трактор МТЗ-82.1;236036827;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [9618 ЕР] Трактор МТЗ 82;[9618 ЕР] Трактор МТЗ 82.1;265002715;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [А 734 ЕО] Камаз 55102;[А 734 ЕО] Камаз 55102;265000414;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [7999 ЕР] Трактор МТЗ 82;[7999 ЕР] Трактор МТЗ 82.1;265003206;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [8493 ЕР] Трактор МТЗ 82;[8493 ЕР] Трактор МТЗ 82.1;265003204;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [5206 ЕО] Трактор МТЗ 20;[5206 ЕО] Трактор МТЗ 2022.3;265010278;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [Н 131 СС] Камаз 65115 Г;[Н 131 СС] Камаз 65115 Грузовой;1104946170;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [7259 ЕС] Трактор МТЗ 82;[7259 ЕС] Трактор МТЗ 82.1;265003203;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ОРЛИК;3119006365;311901001; [9552 ЕС] Трактор МТЗ;[9552 ЕС] Трактор МТЗ;336006145;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000162;25.06.2020 0:00:00;
